"idx","cd_nm","cd_a","cd_memo","cd_memo2","del_flag","order_num","perm_write","perm_edit","perm_delete","ins_dt","edit_dt"
5,여행상태,STA,"","",N,999,N,N,N,2022-07-05 10:33:02.000,
6,방문지유형코드,VIS,"","",N,999,N,N,N,2022-07-05 10:45:53.000,
7,주요 이동수단,MOV,"","",N,999,N,N,N,2022-07-05 10:48:39.000,
8,재방문여부,REV,"","",N,999,N,N,N,2022-07-05 11:27:33.000,
9,방문선택이유,REN,"","",N,999,N,N,N,2022-07-05 11:28:18.000,
10,숙소유형,HTY,"","",N,999,N,N,N,2022-07-05 11:31:20.000,
11,방문활동,ACT,"","",N,999,N,N,N,2022-07-05 11:34:24.000,
12,취식 지출 여부,EXP,"","",N,999,N,N,N,2022-07-05 11:50:35.000,
13,결제 방식,PAY,"","",N,999,N,N,N,2022-07-05 11:51:27.000,
14,전반적 만족도 점수,DGS,"","",N,999,N,N,N,2022-07-05 11:55:48.000,
15,재방문 의향 점수,REP,"","",N,999,N,N,N,2022-07-05 11:56:55.000,
16,추천의향 점수,REC,"","",N,999,N,N,N,2022-07-05 11:58:20.000,
17,메타데이터 진행상태,MET,"","",N,999,N,N,N,2022-07-05 12:00:59.000,
18,여행종류,TTY,"","",N,999,N,N,N,2022-07-07 09:11:04.000,
19,미션,MIS,"여행테이블 여행목적, 여행미션에서 사용","",N,999,N,N,N,2022-07-27 16:26:46.000,
20,최종학력,EDU,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
21,최종학력이수여부,EFS,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
22,혼인상태,MAR,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
23,직업,JOB,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
24,직업기타,JOE,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
25,소득,INC,"본인소득, 가구소득","",N,999,N,N,N,2022-09-22 17:34:50.000,
26,여행빈도_기간,TTM,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
27,여행스타일,TSY,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
28,여행동기,TMT,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
29,여행동반자관계,TCR,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
30,성별,GEN,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
31,동반자연령대,AGE,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
32,동반자동반상황,CST,"","",N,999,N,N,N,2022-09-22 17:34:50.000,
33,입장료구분,AMS,체험/입장및 관람활동 구분,"",N,999,N,N,N,2022-11-11 13:48:15.000,
34,여행권역,TAR,"","",N,999,N,N,N,2022-12-01 15:42:15.000,
